	Job Category																														
Weblogic Administrator	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Preferred Skills:
    Experience in Weblogic automation utilizing WLST and Python. Experience with Computer Associates/Wily’s Introscope performance monitoring application.
    Experience in Tuning and Deploying Web Logic server and portal clustered applications. Experience in Web Logic best practices.
    Expert knowledge on distributed systems and the support of highly distributed deployment J2EE servers.
    Experience in configuring WebLogic Servers in a Cluster solution for High Availability, Load balancing and fail over support. Linux (Red Hat) and Solaris experience.
    Knowledge of Web Security tools- LDAP Server, SSL Certificates.
    Experience in profiling Java applications using tools such as; Jprobe, OptimizeIT, etc.
"	"The Weblogic Administrator is part of a team supporting VA systems operating out of the VA Hines Data Center.  Candidate must possess strong technical background and experience related to the administration/architecture of BEA WebLogic server and portal, versions 8.x, 9.x, and 10.x . 
Roles/Responsibilities: 
    Utilize Java J2EE Enterprise Architect to design, implement, and deploy scalable fault tolerant applications on WebLogic Platform.
    Develop a Web Logic Architecture Document.
    Utilize Java Specification Requests (JSRs) 168 Portlet Design and integration to architect WebLogic Portal Server
    Develop design patterns for clustered high availability applications
    Develop design patterns for reusable and scalable objects.
    Develop design patterns for optimized data retrieval and storage.
    Develop design patterns for efficient code and non-blocking multi-threaded applications.
    Architect, configure, and deploy Java Message Service (JMS) Message queue transmission and reception models for high volume transitionally safe applications.
    Provide Web Service design using Representational State Transfer (REST) and Simple Object Access Protocol (SOAP).
    Design and deploy efficient Hibernate design Patterns.
    Implement and deploy Spring Design Patterns.
    Create Enterprise JavaBean (EJB) 3.0 Objects for data transaction integrity.
    Develop with in Eclipse Development Environment.
    Provide capability to enable team use of Version Control Systems.
    Streamline Automated Build, Test, and Deploy environments.
    Develop Regression Testing best practices and provide Regression Test reports.
    Perform Audit Java Security, Authentication, and Authorization of application.
    Audit Java performance a tuning of existing applications
    Provide Weblogic Platform diagnostic and troubleshooting ability.
    Identify existing issues and pro-actively recommend solutions for upcoming issues.
    Utilize Java Virtual Machine Tuning and analysis for optimized performance on application servers.
    Review  architecture for compliance with the Government Web Server and Network Security Requirement.
    Perform Operating System Security Hardening.
    Perform Oracle 9i, 10g, 11g design, integration, optimization and configuration.
    Design and optimized SQL and PL/SQL.
    Perform Networking configuration for Cisco hardware load balancing
    Optimize Hardware Load Balancing when integrated with WebLogic Software clustering and load balancing.
    Ensure IP Routing tables and the implications of high bandwidth network traffic generation from back end systems.
    Perform optimization of the Wide Area Network (WAN) and Local Area Network (LAN) configuration and deployment topologies to maximize WebLogic J2EE system performance.
    Provide subject matter expertise through a detailed knowledge of Java, Unix environment from a system administration and development point of view and may be in form of knowledge transfer or more formal training.
    Optimize operating system for high performance multi-threaded applications that require high CPU and network usage and shall diagnose and traiage issues with such systems in a VA environment.
    Provide operational support for Glassfish J2EE server implementations.
General Activities:
    Participate in CDCO support activities such as Disaster Recovery, data replication,     infrastructure support activities such as documentation, develop architectural diagrams, and troubleshoot performance issues.
    Lead CDCO sponsored initiatives, to include developing schedules and plans, communicating progress to management in both verbal and written formats, identifying barriers, and identifying and evaluating alternatives.
    Track and document all system changes, problems, issues, and work tasks within CA’s Unicenter Service Desk (USD) through change orders, service requests, incident and/or problem tickets.
    Participate and contribute at project meetings as subject matter expert (SME) for UNIX system administration related areas.
    Communicate to project managers, team members, other technical administrators and/or end users the status and findings with tickets, incidents, and problems.
    Use administrative tools such as CA Monitoring Suite, Nagios and/or Oracle Enterprise Operations Center (formerly Sun xVM Operations Center) for monitoring and administering Unix servers. 
General Activities:
    Participate in CDCO support activities such as Disaster Recovery, data replication,     infrastructure support activities such as documentation, develop architectural diagrams, and troubleshoot performance issues.
    Lead CDCO sponsored initiatives, to include developing schedules and plans, communicating progress to management in both verbal and written formats, identifying barriers, and identifying and evaluating alternatives.
    Track and document all system changes, problems, issues, and work tasks within CA’s Unicenter Service Desk (USD) through change orders, service requests, incident and/or problem tickets.
    Participate and contribute at project meetings as subject matter expert (SME) for UNIX system administration related areas.
    Communicate to project managers, team members, other technical administrators and/or end users the status and findings with tickets, incidents, and problems.
    Use administrative tools such as CA Monitoring Suite, Nagios and/or Oracle Enterprise Operations Center (formerly Sun xVM Operations Center) for monitoring and administering Unix servers. 
Qualifications/Education requirements:
    Bachelor’s Degree in Computer Science or business related field preferred
    5+ years senior-level experience with Oracle database administration
    Significant experience with Weblogic environment supporting large enterprise installations (100+ applications) across a national infrastructure.  Should have experience in monitoring software / hardware performance, integrating disparate hardware to operate within Weblogic environment"	5+ years	Weblogic Administrator	Match																			Facility Management	"IT Software - ERP, CRM"	Product Development/Engineering	Design Engineer
WebLogic Administrator	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Qualifications:
    4+ years hands-on experience managing either WebLogic OAS WebSphere or JBOSS environments combined with a Java Developer, Systems Administrator or DBA background
    Experience installing and configuring WLS Clusters on Linux with WLS Coherence experience desired
    Proficient in installation, support and troubleshooting of Oracle IdM SSO tier of OIM/OAM/OID
    Proven analytical and problem solving skills
    Experience writing scripts to assist in administrative task
    Must be a team player with strong interpersonal, oral and written communication skills
    Ability to work in a project-based environment with tight dead-lines
    Experience with best practice methodologies such as ITIL, Six Sigma, CMMI
    Strong organizational and time management skills
    Customer focused with dedication to customer satisfaction"	"Key Functions / Responsibilities:
    Ensure availability and stability of production environments
    Install, configure, monitor and troubleshoot Oracle middleware systems hosting J2EE and Oracle Forms applications on a Linux platform
    Assist Operations team in providing 24x7 production support and off hour application deployments
    Creation of scripts to assist in automating deployment and administrative task
    Work with the Development team in resolving software and related problems associated with the middleware platform
    Install patches and updates as appropriate on production, development, test environments and staging environments
    Recommend, plan, design, build, document and deploy middleware infrastructure upgrades
    Mentor junior team members in middleware support
 
Education and Experience:
    Must have a Bachelor's degree in Computer Science or related field with an advanced degree preferred and 4 to 6 years of related experience.
    US Citizenship with Active Public Trust or the ability to obtain which entails (US Citizenship & Must be able to pass a background investigation)"	4+ years	WebLogic Administrator	Match																			FMCG / Foods / Beverage	IT Software - Mainframe	Production/Manufacturing/Maintenance	Developer
Web Systems Administrator	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Qualifications
    Bachelor’s degree with a technical major, such as engineering or computer science.
    Systems Administration/System Engineer certification in Linux is a plus.
    3 years of system administration experience involving expertise with managing following:
        Web Server:                     Apache
        Application Servers:           J2EE E-commerce platform (JBoss, Weblogic, WebSphere, Blue Martini etc)
        Database Server:               Oracle
        Others:                           Endeca, Coherence, Splunk, Ansible, Inetrnet Browsers (IE, Netscape, Firefox, Safari)
"	"J.Crew is looking for a Web Systems Administrator to be responsible for installing, configuring, and maintaining website specific applications and servers, including web servers, application servers and database servers, in support of business processing requirements. He/She will perform software installations and upgrades to layered software packages in accordance with established IT policies and procedures. They will monitor and tunes the system to achieve optimum performance levels.  Ensure workstation/server data integrity by evaluating, implementing and managing appropriate software and hardware solutions. Develop and promote standard operating procedures. Conduct routine hardware and software audits of servers to ensure compliance with established standards, policies, and configurations as defined by J.Crew.
 
Primary Responsibilities include:
Engineering Design
    Effective provisioning, installation/configuration, operation, and maintenance of systems and related infrastructure for the jcrew.com ecommerce website.
    Participate in technical research and development to enable continuing innovation within the infrastructure.
    Assist project teams with technical issues in the Initiation and Planning phases of our standard Project Management Methodology.
    Activities include
        Definition of needs, benefits, and technical strategy; research & development within the project life-cycle; technical analysis and design; and support of operations staff in executing, testing and rolling-out of the solutions.
 
Operations and Support
    Accountable for managing Web servers, Application servers running under Linux and Windows systems that support the website infrastructure.
        Managed applications fall under J2EE based Content Management, E-Commerce, Search and Image areas.
    Perform daily system monitoring, verifying the integrity and availability of all hardware, server resources, system and key processes, reviewing system and application logs, and verifying completion of scheduled jobs such as key daily processes.
    Perform regular security monitoring to identify any possible intrusions, create, change, and delete user accounts per request, provide Tier III/other support per request from various constituencies, and investigate and troubleshoot issues.
 
Maintenance
    Upgrade and configure system software that supports website infrastructure applications or Content/Asset Management applications per project or operational needs.
    Maintain operational, configuration, or other procedures. 
    Perform periodic performance reporting to support capacity planning, ongoing performance tuning and resource optimization as required.
 
Day-to-Day Responsibilities
    Work with a variety of ad-hoc problems that may arise and the SA has to decide which answer/direction is best based on available data points and past experience.
    Interpret and/or discuss information with others, which involves terminology or concepts not familiar to many people; regularly provide advice and recommend actions involving rather complex issues.
    Responsibilities will require working evenings and weekends. Flexibility is required to execute time critical tasks with little advanced notice. No regular travel required."	3 years	Web Systems Administrator	Match																			Industrial Products / Heavy Machinery	IT Software - Middleware	Programming & Design	Engineer / Technical Specilaist
Weblogic IIS Admin(Job Number: 00022412574)	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"Cognizant is hiring for ""Weblogic IIS Admin"" . Interested candidates who are willing to relocate can apply.  Relocation assistance will be provided.
Note:“Cognizant will not sponsor or transfer H-1B or other U.S. work authorization, or lawful permanent residence (otherwise known as a “Green Card”) for this role.”
Responsibilities:
· Installation of app & webserver and post-installation configuration as per the standards.
· Responsible for the Deploying, monitoring and maintenance of production app & web Servers
· Perform periodical  health Check, maintenance and monitoring
· Deploying and testing replication and disaster recovery solutions.
· Experience on installation with software enhancements , security patches and bug fixes.
· Always On setup, configuration and troubleshooting
. Experience on configuration security certificates
·  Performance tuning and troubleshooting.
Work with development and database team to determine project requirements for test  and production environments.
. Experience on configuration multi data source for different data bases like Oracle, sqlserver and postgress.
· Experience on horizontal and vertical  Cluster Installation
· Production Support for 24/7/365 days support Model including weekend support with rotation.
· Manage environment inventory and Documentation.
· Providing training & guidance to L2/L3 Team members.
· Appserver/webserver Capacity planning and analysis.
· Customized solutions to client based on application requirement
· Identifying root cause and documenting the same for critical issues
· Participate in Change Control meetings to explain business on the planned changes and their impact"		Weblogic IIS Admin(Job Number: 00022412574)	Match																			Internet / Ecommerce	IT Software - Mobile	Project Management	Engineering / Malware fixing
Weblogic Admin(Job Number: 00022702251)	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"JOB DESCRIPTION:
Seeking a Senior Middleware Infrastructure engineer with significant experience in Middleware technologies like Application Server, J2EE Architecture such as Application server (Oracle Weblogic, JBoss Application server) , Web servers ( Tomcat, Apache HTTP , IBM HTTP Web Server, Sun Java web server) and Directory server and understanding of various integration technologies to help with the design and operational delivery of Middleware services, capacity and performance planning, life cycle planning, and be an SME to the operations team for any escalations.
Technical Skills required:
•             Oracle WebLogic Application Server, Jboss Application Server production experience in clustered environment.
•             Experience working on Red Hat Linux & Solaris
•             IBM HTTP server/Apache webserver
•             Tomcat App Server
•             Iplanet /sunone webserver
•             Oracle JDBC connections
•             J2EE architecture"		Weblogic Admin(Job Number: 00022702251)	Match																			IT - Hardware / Networking	"IT Software - Network Administration, Security"	QA/Testing/Documentation	ERP Consultant
Weblogic 12c Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"
    4 to 6 years of Experience in Weblogic
    Must have Weblogic 11G hands on experience
    Weblogic 12C knowledge would be an extra advantage.
    Must have Weblogic installation and domain hands on experience
    Installation and configuration of Weblogic domains including clustering, Multi-datasource, Gridlink datasource, Node manager, JMS, Distributed destinations
    Deployment and troubleshooting of JAR, WAR, and EAR files
    Performance tuning of Weblogic
    Applying of Weblogic patches and service packs
    Troubleshooting logs, Thread Dump Analysis, Heap dump analysis, Core Dump Analysis , GC log analysis
    Configuration of LDAP, SSL , Security realms and Work Managers
    Developing automation scripts for weblogic monitoring and administration
    Usage of weblogic utilities like WebLogic.Admin, WebLogic.Deployer, WLST
    Integration of weblogic with HTTP servers like Apache, IIS etc
    Linux/AIX commands and shell scripting
    Work with internal/external vendors for application related issues and support"	4-6 years	Weblogic 12c Admin	Match																			IT/Hardware & Computing	IT Software - Other	Real Sales	Faculty
Websphere Weblogic Admin	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Websphere, Weblogic, Web Technologies, Websphere Weblogic Admin WebSphere Tomcat, Apache, IIS Java, JSP, HIS"	"The person will have the following project responsibilities: Experience required 5.0+ years of experience on Web build Engineer-Websphere & Weblogic Admin. Detailed understanding of web technologies.
Extensive experience in installing, configuring and tuning web server and web application software including WebLogic, WebSphere, IIS and Apache/Tomcat using both command line and console interfaces.
Strong analytical ability and troubleshooting skills. Strong technical skills with proficiency in WebSphere Tomcat, Apache, IIS Java, JSP, HIS. Use of Siteminder for authentication/ SSO.
Knowledge of security products such as KEON & LDAP. Strong OS platform skills in Linux, AIX and Windows. Experience with automating installation tasks via scripting languages.
Previous experience in web technologies in a Financial Services organization. Experience in evaluating web architecture requirements and designs; ability to organize inter-dependent tasks and estimate the required effort.
Familiarity with Java/J2EE web application configuration and deployments. Excellent analytical, organizational and problem-solving skills coupled with a strong work ethic. Excellent written and verbal communication skills.
Strong analytical and problem solving skills. Notice Period: 15-20 days. Kindly dont apply with more than 30 days as official notice period."	5-9 years	Websphere Weblogic Admin	Match																			IT/Hardware / Networking	IT Software - QA & Testing	Retail Sales	Financial Analyst (SAP)
Weblogic Admin & Support	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"SQL Queries, Oracle, Unix Shell Scripting, J2Ee, Bamboo, Weblogic, Subversion, Jenkins, Perl, Build"	"WebLogic environment
Deploying, patching and maintaining web application using Jenkins
Strong skills in Unix shell scripting (korn, Perl, python)
Experience in writing SQL queries for relational database like Oracle
Basic understanding of J2EE platform and architecture, including messaging and integration points
Continuous build third party applications (Jenkins, Bamboo, Subversion, etc)"	6-11 year	Weblogic Admin & Support	Match																			IT-Hardware & Networking	IT Software - System Programming	Sales Support	Functional Outside Consultant
Weblogic Administrator	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	System Administrator		Web Logic Administrator	4-7 years	Weblogic Administrator	Match																			IT-Software / Software Services	"IT Software - Systems, EDP, MIS"	Senior Management	Graphic/Web Designer
"
Weblogic Administrator"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	System Administrator		"  # Hands on experience in Weblogic administration in Unix Environment which includes installation & configuration 
# Sound knowledge in web Server like Apache HTTP Server/Oracle HTTP Server/IBM HTTPS Server which includes installation & configuration 
# Application Deployment and Validation Plan preparation & doing deployment 
 # Application environment assessment "	5-10 years	"Weblogic Administrator, 5-13 Yrs. Exp, 4+ Relavent, HCL, Bangalore"	Match																			KPO / Research / Analytics	IT Software - Telecom Software	System Design/Implementation/ERP/CRM	Hardware Installation Technician
